experimental,experimental,experimental,experimental,experimental,experimental,experimental,demographics,demographics,gaming,gaming,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_items,FPT_scores,FPT_scores,FPT_scores,FPT_scores,FPT_scores,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_items,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,DFS_scores,TPI_items,TPI_items,TPI_items,TPI_items,TPI_items,TPI_items,TPI_scores
67,39,Aesthetic,2,ENISE (Saint-Etienne),2021-05-31 18:20:46,2021-06-11 16:46:29,Homme,20,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Régulièrement,5,6,7,6,6,7,7,7,3,6,5,5,5,6,5,3,2,5,4,5,3,2,3,3,5,84,84,47,70,37,5,4,4,1,4,4,2,3,3,4,3,3,6,5,5,6,4,4,4,5,5,4,3,6,6,1,3,4,5,2,3,3,3,6,4,3,17,17,14,14,15,18,20,12,13,4,2,3,4,2,2,2.83333333333333
68,39,Narrative,3,ENISE (Saint-Etienne),2021-05-31 18:20:46,2021-06-11 17:11:50,Homme,20,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Régulièrement,5,6,7,6,6,7,7,7,3,6,5,5,5,6,5,3,2,5,4,5,3,2,3,3,5,84,84,47,70,37,7,6,7,3,7,6,2,5,6,5,6,6,7,7,7,7,6,6,6,7,6,6,6,7,7,7,5,7,6,5,6,6,6,7,5,5,25,25,24,22,26,26,23,23,22,6,6,6,6,5,6,5.83333333333333
69,40,Narrative,1,ENISE (Saint-Etienne),2021-05-31 19:29:51,2021-06-08 11:42:03,Femme,19,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Occasionnellement,4,3,6,5,6,7,7,5,7,7,4,5,4,4,4,3,5,7,6,6,2,1,3,3,7,64,94,74,54,37,6,6,7,1,7,5,7,5,7,4,4,7,6,6,7,7,7,7,6,6,5,7,7,5,7,2,7,6,7,4,7,7,5,7,6,7,22,23,23,21,27,22,28,20,28,7,4,4,5,7,2,4.83333333333333
70,40,Goals,2,ENISE (Saint-Etienne),2021-05-31 19:29:51,2021-06-08 12:01:59,Femme,19,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Occasionnellement,4,3,6,5,6,7,7,5,7,7,4,5,4,4,4,3,5,7,6,6,2,1,3,3,7,64,94,74,54,37,7,7,4,4,5,6,6,2,5,5,6,4,7,7,5,6,2,7,6,7,5,7,7,4,7,2,6,6,7,5,7,7,6,7,3,6,24,27,18,25,26,21,26,9,24,4,6,6,6,6,3,5.16666666666667
71,40,Aesthetic,3,ENISE (Saint-Etienne),2021-05-31 19:29:51,2021-06-08 12:25:57,Femme,19,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Occasionnellement,4,3,6,5,6,7,7,5,7,7,4,5,4,4,4,3,5,7,6,6,2,1,3,3,7,64,94,74,54,37,7,6,7,4,7,7,7,2,7,7,7,7,7,6,7,7,3,7,7,7,7,6,7,5,6,3,7,7,7,6,6,6,7,7,5,7,28,27,27,23,26,26,27,13,28,6,7,5,6,7,7,6.33333333333333
72,41,Narrative,1,ENISE (Saint-Etienne),2021-05-31 20:38:21,2021-06-02 18:10:13,Homme,19,Confirmé(e) : J'utilise la réalité virtuelle de manière régulière,Tous les jours,5,5,6,7,7,5,6,5,5,7,3,5,7,7,6,4,3,6,5,6,7,5,7,7,7,84,77,64,77,94,2,7,6,5,7,7,7,6,7,6,6,7,6,7,7,7,7,7,6,7,2,6,7,3,7,2,7,7,7,5,6,7,6,7,7,7,21,27,20,23,28,23,28,22,28,6,5,5,4,6,6,5.33333333333333
73,41,Goals,2,ENISE (Saint-Etienne),2021-05-31 20:38:21,2021-06-02 18:14:56,Homme,19,Confirmé(e) : J'utilise la réalité virtuelle de manière régulière,Tous les jours,5,5,6,7,7,5,6,5,5,7,3,5,7,7,6,4,3,6,5,6,7,5,7,7,7,84,77,64,77,94,7,6,7,6,7,5,7,7,6,7,6,7,3,5,6,7,6,6,7,7,7,7,7,6,7,3,6,7,6,7,5,7,7,7,6,6,28,25,28,21,26,24,28,22,24,7,7,5,4,5,1,4.83333333333333
74,41,Aesthetic,3,ENISE (Saint-Etienne),2021-05-31 20:38:21,2021-06-02 18:45:34,Homme,19,Confirmé(e) : J'utilise la réalité virtuelle de manière régulière,Tous les jours,5,5,6,7,7,5,6,5,5,7,3,5,7,7,6,4,3,6,5,6,7,5,7,7,7,84,77,64,77,94,6,6,1,1,7,5,7,7,7,7,6,2,2,6,6,7,7,7,7,6,1,5,6,3,7,3,7,7,7,2,2,7,7,7,7,6,27,25,6,10,26,21,28,24,27,7,6,7,6,4,3,5.5
75,43,Narrative,1,INSA Lyon,2021-06-01 11:13:01,2021-06-07 16:19:13,Homme,20,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Occasionnellement,4,4,5,4,2,6,6,7,2,5,5,4,6,4,5,5,3,5,5,4,5,3,5,6,6,47,70,57,64,67,5,6,7,5,7,6,6,5,6,6,7,5,6,6,5,6,5,6,7,6,4,5,7,5,6,3,6,7,6,7,4,6,7,6,5,4,25,25,23,20,26,23,24,18,22,6,6,3,5,3,6,4.83333333333333
76,43,Aesthetic,2,INSA Lyon,2021-06-01 11:13:01,2021-06-07 16:48:28,Homme,20,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Occasionnellement,4,4,5,4,2,6,6,7,2,5,5,4,6,4,5,5,3,5,5,4,5,3,5,6,6,47,70,57,64,67,6,6,4,3,7,6,6,5,5,5,7,4,6,7,7,7,5,7,6,7,5,7,7,5,7,4,5,5,6,4,4,7,6,7,5,4,22,26,17,20,28,24,27,19,21,6,4,4,6,5,4,4.83333333333333
77,43,Goals,3,INSA Lyon,2021-06-01 11:13:01,2021-06-07 17:12:56,Homme,20,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Occasionnellement,4,4,5,4,2,6,6,7,2,5,5,4,6,4,5,5,3,5,5,4,5,3,5,6,6,47,70,57,64,67,6,7,7,5,7,6,7,4,7,6,6,5,5,5,5,7,4,7,6,6,7,6,7,5,7,4,6,6,6,7,5,7,5,7,3,5,24,25,26,21,26,21,28,15,25,6,6,4,6,5,4,5.16666666666667
78,44,Goals,1,INSA Lyon,2021-06-01 14:46:24,2021-06-08 14:35:24,Femme,20,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,6,5,6,6,7,6,7,6,7,7,7,7,7,7,7,4,3,4,5,4,6,5,7,7,7,84,94,50,100,90,6,6,3,3,6,4,6,5,6,6,5,4,4,5,4,6,4,5,6,6,5,4,6,4,6,3,5,6,5,4,4,6,5,6,5,4,24,22,16,15,23,17,24,17,20,5,5,5,4,5,4,4.66666666666667
79,44,Aesthetic,2,INSA Lyon,2021-06-01 14:46:24,2021-06-08 15:08:38,Femme,20,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,6,5,6,6,7,6,7,6,7,7,7,7,7,7,7,4,3,4,5,4,6,5,7,7,7,84,94,50,100,90,4,3,1,1,6,5,6,6,4,4,2,1,3,6,5,6,6,4,4,4,1,2,7,4,6,4,4,4,3,2,4,6,4,6,5,4,16,12,5,10,25,18,24,21,16,6,6,5,5,5,4,5.16666666666667
80,44,Narrative,3,INSA Lyon,2021-06-01 14:46:24,2021-06-08 15:30:40,Femme,20,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,6,5,6,6,7,6,7,6,7,7,7,7,7,7,7,4,3,4,5,4,6,5,7,7,7,84,94,50,100,90,7,6,6,5,7,5,6,6,5,7,5,6,4,6,5,6,6,4,7,5,6,6,7,4,6,6,5,6,6,7,5,6,5,6,6,3,27,22,25,20,26,19,24,24,17,7,7,5,6,6,6,6.16666666666667
81,46,Aesthetic,1,INSA Lyon,2021-06-04 14:14:30,2021-06-07 14:48:45,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,5,5,6,7,6,7,6,7,7,4,6,6,5,5,7,6,2,5,6,4,7,4,4,1,5,80,87,60,80,54,6,4,3,5,3,7,7,7,7,6,5,3,2,4,7,7,7,6,5,3,2,3,6,7,7,7,7,5,5,2,4,2,7,7,7,7,22,17,10,14,15,28,28,28,27,7,7,7,5,7,5,6.33333333333333
82,46,Goals,2,INSA Lyon,2021-06-04 14:14:30,2021-06-07 15:14:16,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,5,5,6,7,6,7,6,7,7,4,6,6,5,5,7,6,2,5,6,4,7,4,4,1,5,80,87,60,80,54,6,7,5,6,7,7,6,7,7,6,3,6,5,6,7,7,7,7,3,4,7,7,7,7,7,6,7,5,4,7,7,7,7,7,7,7,20,18,25,25,27,28,27,27,28,7,7,6,6,7,6,6.5
83,46,Narrative,3,INSA Lyon,2021-06-04 14:14:30,2021-06-07 15:34:11,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,5,5,6,7,6,7,6,7,7,4,6,6,5,5,7,6,2,5,6,4,7,4,4,1,5,80,87,60,80,54,7,7,7,5,7,7,7,5,7,7,5,5,4,7,7,7,5,5,7,6,5,7,7,7,7,4,5,7,5,7,7,7,7,7,6,7,28,23,24,23,28,28,28,20,24,7,7,6,7,5,7,6.5
84,47,Narrative,1,INSA Lyon,2021-06-06 11:55:41,2021-06-10 12:56:12,Homme,21,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Tous les jours,1,1,2,1,2,5,6,5,7,5,7,7,6,7,5,4,5,5,4,4,5,4,6,5,7,7,77,57,90,74,2,6,7,6,7,7,6,4,7,7,6,6,6,7,7,7,4,7,7,7,6,7,7,7,6,4,6,7,6,6,6,7,6,6,4,5,23,25,25,25,28,27,25,16,25,6,6,6,6,6,6,6.0
85,47,Aesthetic,2,INSA Lyon,2021-06-06 11:55:41,2021-06-10 13:21:01,Homme,21,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Tous les jours,1,1,2,1,2,5,6,5,7,5,7,7,6,7,5,4,5,5,4,4,5,4,6,5,7,7,77,57,90,74,4,5,5,5,7,6,5,4,7,6,5,6,6,7,6,6,4,6,5,6,3,5,7,6,7,4,7,6,6,2,6,7,5,7,4,6,21,22,16,22,28,23,25,16,26,7,7,6,6,4,3,5.5
86,47,Goals,3,INSA Lyon,2021-06-06 11:55:41,2021-06-10 13:42:01,Homme,21,Initié(e) : J'ai déjà utilisé la réalité virtuelle plusieurs fois,Tous les jours,1,1,2,1,2,5,6,5,7,5,7,7,6,7,5,4,5,5,4,4,5,4,6,5,7,7,77,57,90,74,6,5,7,6,7,6,5,5,6,6,4,7,4,4,5,6,5,7,6,3,7,6,6,6,6,2,6,7,5,5,6,6,6,5,4,5,25,17,26,22,23,23,22,16,24,6,6,6,5,7,1,5.16666666666667
90,51,Narrative,1,INSA Lyon,2021-06-06 23:28:51,2021-06-08 10:46:20,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,4,6,6,5,2,4,5,3,2,4,5,5,7,6,6,1,5,3,3,3,5,4,4,3,4,60,44,34,80,50,4,3,2,3,5,2,7,6,6,4,3,3,4,6,5,6,5,5,2,5,2,5,6,4,6,3,5,2,6,3,2,5,4,7,6,4,12,17,10,14,22,15,26,20,20,6,5,4,4,5,4,4.66666666666667
91,51,Goals,2,INSA Lyon,2021-06-06 23:28:51,2021-06-08 11:07:59,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,4,6,6,5,2,4,5,3,2,4,5,5,7,6,6,1,5,3,3,3,5,4,4,3,4,60,44,34,80,50,5,3,7,5,6,3,7,4,5,4,5,6,5,5,4,7,5,6,6,5,7,6,6,2,6,4,5,6,4,7,5,6,3,6,5,4,21,17,27,21,23,12,26,18,20,5,5,4,4,5,3,4.33333333333333
92,51,Aesthetic,3,INSA Lyon,2021-06-06 23:28:51,2021-06-08 11:26:12,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,4,6,6,5,2,4,5,3,2,4,5,5,7,6,6,1,5,3,3,3,5,4,4,3,4,60,44,34,80,50,3,3,1,1,7,4,6,6,7,4,5,4,4,6,6,6,7,7,4,5,2,4,6,5,7,4,6,6,6,1,2,6,3,7,6,4,17,19,8,11,25,18,26,23,24,7,7,5,4,7,3,5.5
93,52,Narrative,1,INSA Lyon,2021-06-07 08:36:18,2021-06-11 10:51:01,Femme,23,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,6,6,6,6,3,5,6,6,6,5,4,3,4,5,3,2,4,4,4,3,4,2,6,5,4,74,77,40,47,54,3,3,4,6,6,6,6,2,7,4,4,6,3,6,6,6,2,5,6,4,7,5,7,4,6,2,7,3,3,5,6,6,5,7,2,6,16,14,22,20,25,21,25,8,25,6,6,6,5,7,4,5.66666666666667
94,52,Goals,2,INSA Lyon,2021-06-07 08:36:18,2021-06-11 11:16:11,Femme,23,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,6,6,6,6,3,5,6,6,6,5,4,3,4,5,3,2,4,4,4,3,4,2,6,5,4,74,77,40,47,54,5,3,7,6,6,5,7,2,6,3,6,6,5,6,6,7,2,6,6,5,6,6,7,6,7,2,6,4,3,7,7,7,5,7,2,6,18,17,26,24,26,22,28,8,24,6,6,6,6,6,7,6.16666666666667
95,52,Aesthetic,3,INSA Lyon,2021-06-07 08:36:18,2021-06-11 11:37:35,Femme,23,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Occasionnellement,6,6,6,6,3,5,6,6,6,5,4,3,4,5,3,2,4,4,4,3,4,2,6,5,4,74,77,40,47,54,4,5,4,2,5,5,7,2,5,3,5,2,4,3,7,7,2,5,5,5,7,6,6,5,7,2,5,4,4,3,4,6,5,7,2,5,16,19,16,16,20,22,28,8,20,7,6,6,5,4,4,5.33333333333333
96,53,Goals,1,INSA Lyon,2021-06-07 12:12:44,2021-06-09 14:34:53,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Jamais,7,7,7,7,4,7,4,6,4,2,6,7,7,6,6,6,5,7,5,6,1,1,4,7,5,90,60,80,90,44,7,4,2,4,3,1,7,7,7,7,7,4,4,7,2,7,7,7,7,3,7,7,7,3,7,2,7,7,3,6,6,7,3,7,7,7,28,17,19,21,24,9,28,23,28,7,7,7,5,7,6,6.5
97,53,Aesthetic,2,INSA Lyon,2021-06-07 12:12:44,2021-06-09 15:09:38,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Jamais,7,7,7,7,4,7,4,6,4,2,6,7,7,6,6,6,5,7,5,6,1,1,4,7,5,90,60,80,90,44,7,6,1,1,7,6,7,7,7,7,1,1,4,7,4,7,7,7,7,4,1,1,7,3,7,7,7,7,3,1,5,7,3,7,7,7,28,14,4,11,28,16,28,28,28,7,7,7,1,7,1,5.0
98,53,Narrative,3,INSA Lyon,2021-06-07 12:12:44,2021-06-09 15:29:19,Homme,21,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Jamais,7,7,7,7,4,7,4,6,4,2,6,7,7,6,6,6,5,7,5,6,1,1,4,7,5,90,60,80,90,44,6,4,6,4,7,6,7,7,7,6,6,7,5,7,6,7,7,7,6,6,5,6,7,6,7,7,7,6,6,5,6,7,6,7,7,7,24,22,23,21,28,24,28,28,28,7,7,7,4,7,7,6.5
99,55,Aesthetic,1,ENISE (Saint-Etienne),2021-06-09 08:47:37,2021-06-10 11:50:10,Femme,22,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Jamais,5,5,2,2,5,7,5,5,6,5,6,5,6,6,4,5,3,6,7,4,3,5,6,7,7,47,77,67,74,77,4,5,5,4,7,7,7,4,7,7,6,6,5,6,6,7,5,7,6,5,6,5,7,5,7,5,6,6,6,4,4,6,6,7,4,5,23,22,21,18,26,24,28,18,25,6,6,6,6,7,4,5.83333333333333
100,55,Goals,2,ENISE (Saint-Etienne),2021-06-09 08:47:37,2021-06-10 12:35:07,Femme,22,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Jamais,5,5,2,2,5,7,5,5,6,5,6,5,6,6,4,5,3,6,7,4,3,5,6,7,7,47,77,67,74,77,5,5,6,7,7,6,7,5,7,6,6,7,6,7,6,7,5,7,7,7,7,6,7,6,7,6,7,6,7,7,6,7,6,7,5,6,24,25,27,25,28,24,28,21,27,6,6,6,5,7,5,5.83333333333333
101,55,Narrative,3,ENISE (Saint-Etienne),2021-06-09 08:47:37,2021-06-10 12:49:50,Femme,22,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Jamais,5,5,2,2,5,7,5,5,6,5,6,5,6,6,4,5,3,6,7,4,3,5,6,7,7,47,77,67,74,77,5,7,5,4,7,7,7,5,7,6,6,6,6,7,5,7,5,7,7,6,7,6,7,6,7,5,6,6,6,5,5,7,6,7,5,6,24,25,23,21,28,24,28,20,26,6,7,6,6,7,7,6.5
102,56,Aesthetic,1,ENISE (Saint-Etienne),2021-06-09 15:49:05,2021-06-10 15:49:05,Homme,19,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,7,4,6,7,7,6,7,7,7,7,7,7,6,5,5,7,6,7,6,6,5,2,6,7,7,87,97,90,84,74,6,7,6,5,7,6,2,1,7,7,7,6,6,7,6,7,2,6,6,7,7,6,7,6,7,1,6,6,5,4,6,7,6,7,2,6,25,26,23,23,28,24,23,6,25,7,7,5,5,4,1,4.83333333333333
103,56,Narrative,2,ENISE (Saint-Etienne),2021-06-09 15:49:05,2021-06-10 16:10:32,Homme,19,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,7,4,6,7,7,6,7,7,7,7,7,7,6,5,5,7,6,7,6,6,5,2,6,7,7,87,97,90,84,74,7,7,7,7,7,6,7,1,7,7,6,7,6,7,6,7,1,6,7,7,7,7,7,6,7,1,7,7,7,7,6,7,7,7,1,7,28,27,28,26,28,25,28,4,27,7,7,6,6,5,7,6.33333333333333
104,56,Goals,3,ENISE (Saint-Etienne),2021-06-09 15:49:05,2021-06-10 16:31:49,Homme,19,Débutant(e) : Je n'ai jamais (ou très peu) utilisé la réalité virtuelle,Régulièrement,7,4,6,7,7,6,7,7,7,7,7,7,6,5,5,7,6,7,6,6,5,2,6,7,7,87,97,90,84,74,6,7,7,7,7,6,7,1,7,7,7,7,7,7,6,7,1,6,6,7,7,7,7,6,7,1,7,7,7,7,6,7,6,7,1,7,26,28,28,27,28,24,28,4,27,7,7,7,7,6,7,6.83333333333333
